id,product_name,ingredient_name,min_intake_value,max_intake_value,display_unit,created_at,updated_at
67,콜레우스 포스콜리 추출물 Forslean,포스콜린,500,500,mg,2026-01-15 17:00,2026-01-15 17:00
68,리프리놀-초록입홍합추출오일,"도코사헥사엔 산, 에이코사펜타엔, 도코사펜타엔, 알파-리놀렌산",200,200,mg,2026-01-15 17:00,2026-01-15 17:00
69,HK 나토배양물,피브린용해효소활성,133,133,mg,2026-01-15 17:00,2026-01-15 17:00
70,비즈왁스알코올,"1-테트라코사놀, 1-헥사코사놀, 1-옥타코사놀, 1-트리아콘타놀, 1-도트리아콘타놀, 1-테트라트리아콘타놀",50,100,mg,2026-01-15 17:00,2026-01-15 17:00
71,백수오 등 복합추출물,"계피산, 산지사이드 메틸에스테르, 노다케닌",514,514,mg,2026-01-15 17:00,2026-01-15 17:00
72,발효생성아미노산 복합물,"L-로이신, L-이소로이신, L-발린",5,5,g,2026-01-15 17:00,2026-01-15 17:00
73,석류추출물,석류추출물,6,6,g,2026-01-15 17:00,2026-01-15 17:00
74,콩․보리 발효복합물,"총 이소플라본, 베타글루칸",3,3,g,2026-01-15 17:00,2026-01-15 17:00
75,폴리코사놀-사탕수수왁스알코올,지방족 알코올,5,20,mg,2026-01-15 17:00,2026-01-15 17:00
76,식물스타놀에스테르,식물스타놀에스테르,3400,3400,mg,2026-01-15 17:00,2026-01-15 17:00
77,씨제이 히비스커스 등 복합추출물,"키토산, (+)-알로-히드록시 구연 산 락톤, L-카르니틴",2079,2079,mg,2026-01-15 17:00,2026-01-15 17:00
78,초록입홍합추출오일복합물,"에이코사펜타엔산, 도코사헥사엔산, 도코사펜 타엔산, 알파리놀렌산",620,620,mg,2026-01-15 17:00,2026-01-15 17:00
79,L-카르니틴 타르트레이트,L-카르니틴,2,2,g,2026-01-15 17:00,2026-01-15 17:00
80,Collactive 콜라겐펩타이드,글리신-프롤린-히드록시프롤린,2,2,g,2026-01-15 17:00,2026-01-15 17:00
81,청국장균배양정제물,폴리감마글루탐산칼륨,1000,1000,mg,2026-01-15 17:00,2026-01-15 17:00
82,로즈힙분말,하이페로사이드,5,5,g,2026-01-15 17:00,2026-01-15 17:00
83,씨폴리놀 감태주정추출물,디에콜,72,360,mg,2026-01-15 17:00,2026-01-15 17:00
84,솔잎 증류 농축액,"3-카렌, 리모넨, 테르피놀렌",1350,1350,mg,2026-01-15 17:00,2026-01-15 17:00
85,아쉬아간다 추출물,위타페린 A,125,180,mg,2026-01-15 17:00,2026-01-15 17:00
86,PMO 참밀알부민,0.19-알부민,1.2,1.5,g,2026-01-15 17:00,2026-01-15 17:00
87,쏘팔메토 열매 추출물 등 복합물,"라우르산, 베타-시토스테롤",705,705,mg,2026-01-15 17:00,2026-01-15 17:00
88,다래추출물,다래추출물,2,2.5,g,2026-01-15 17:00,2026-01-15 17:00
89,L-글루타민산 유래 GABA 함유 분말,L-글루타민산 유래 가바 함유 분말,20,20,mg,2026-01-15 17:00,2026-01-15 17:00
90,중쇄지방산 함유 유지,중쇄지방산함유유지,1,2,g,2026-01-15 17:00,2026-01-15 17:00
91,CJ식물성유지 디글리세라이드,디아실글리세라이드,10,10,g,2026-01-15 17:00,2026-01-15 17:00
92,카제인가수분해물,카제인가수분해물,2,4,mg,2026-01-15 17:00,2026-01-15 17:00
93,호프추출물,알파 산s와 iso-알파 산s,1000,2000,g,2026-01-15 17:00,2026-01-15 17:00
94,Nopal추출물,노팔추출물,4200,4400,mg,2026-01-15 17:00,2026-01-15 17:00
95,헛개나무과병추출분말,퀘르세틴,2460,2460,mg,2026-01-15 17:00,2026-01-15 17:00
