sick_name
감기
기관지염
편도염
비염
부비동염
폐렴
결핵
코로나19
위염
장염
위궤양
역류성식도염
과민성장증후군
피부염
아토피
습진
두드러기
여드름
피부질환
근골격질환
골다공증
고혈압
당뇨병
고지혈증
비만
심부전
협심증
심근경색
심장부정맥
뇌졸중
치매
파킨슨병
간질질환
요로감염
전립선비대증
신장결석
방광질환
우울증
불안장애
공황장애
수면장애
빈혈
월경장애
폐경
선천성질환
임신출산
암
외상
사고외상
중독
혈액면역질환
증상
합성 대치물 및 길항제
항뇌전증제 및 항파킨슨제
기타


