epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,197.044,0.38568,0.45954,0.9775,0.64666,0.75983,0.70562,0.60868,0.87119,1.33004,1.77022,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,202.756,0.37865,0.44532,0.9922,0.63092,0.71929,0.70105,0.60934,0.85884,1.46601,1.79043,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,208.654,0.36274,0.41346,0.98432,0.67465,0.71468,0.70871,0.61996,0.93736,1.38721,1.96092,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,214.359,0.40349,0.45485,1.01544,0.751,0.708,0.74678,0.63196,0.88599,1.15916,1.78103,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,220.301,0.36609,0.38324,0.97503,0.70636,0.77299,0.72557,0.6182,0.93843,1.26139,1.88742,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,226.015,0.36697,0.39273,0.97021,0.64194,0.77845,0.71067,0.60484,0.90388,1.23424,1.80308,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,231.945,0.3579,0.38165,0.97242,0.63002,0.68625,0.66329,0.57863,0.86973,1.4195,1.76563,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,237.691,0.36021,0.39044,0.97492,0.59948,0.77181,0.65675,0.56962,0.92547,1.46956,1.9433,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,243.605,0.37544,0.42027,0.98937,0.6425,0.76505,0.6866,0.59615,0.82258,1.35355,1.74525,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,249.336,0.38678,0.36754,0.97945,0.66467,0.68796,0.66895,0.58295,0.81877,1.38117,1.68238,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,255.244,0.35471,0.35466,0.98402,0.64138,0.78041,0.70631,0.60836,0.87555,1.28864,1.76592,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,260.945,0.3496,0.35922,0.95854,0.72557,0.7275,0.73866,0.61443,0.84582,1.23763,1.67042,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,266.835,0.35844,0.37795,0.9602,0.70855,0.71499,0.72671,0.63465,0.7858,1.26109,1.6766,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,272.545,0.33359,0.36855,0.95055,0.70718,0.73336,0.72197,0.63334,0.80815,1.31076,1.79093,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,278.446,0.35072,0.36278,0.9703,0.66139,0.73065,0.68646,0.60735,0.8525,1.51407,1.91163,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,284.129,0.35126,0.37401,0.96679,0.62401,0.80174,0.71293,0.62073,0.78547,1.44137,1.7689,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,290.058,0.35293,0.36802,0.94842,0.66613,0.7285,0.6943,0.61086,0.86354,1.6402,1.96039,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,295.772,0.31515,0.34064,0.93701,0.62688,0.7715,0.67232,0.58558,0.87521,1.38977,1.95701,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
