epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7796,2.2784,2.91173,2.39271,0,0,0,0,nan,nan,nan,0.00328767,0.00328767,0.070411
2,55.1468,2.11831,2.53057,2.27795,0.01167,0.38487,0.00753,0.00195,3.02302,152.388,5.74382,0.00657731,0.00657731,0.0403673
3,71.2935,1.98948,2.34631,2.16415,0.17153,0.28061,0.11532,0.03189,2.33836,24.8123,3.47886,0.00982294,0.00982294,0.0102796
4,87.4225,1.87779,2.25571,2.06816,0.1356,0.23355,0.06988,0.01905,2.75427,7.08267,3.50603,0.009802,0.009802,0.009802
5,103.606,1.81429,2.10514,2.03599,0.26673,0.33224,0.1798,0.06482,2.14731,4.28013,2.7382,0.009736,0.009736,0.009736
6,119.907,1.78472,2.05103,1.97117,0.35437,0.38487,0.26927,0.10507,1.96976,5.28643,2.52905,0.00967,0.00967,0.00967
7,136.214,1.7757,2.02869,1.97601,0.26216,0.24671,0.16897,0.05966,2.22947,5.02523,2.84579,0.009604,0.009604,0.009604
8,152.186,1.72129,1.95584,1.91274,0.39075,0.44408,0.36157,0.15806,1.87735,2.99121,2.28361,0.009538,0.009538,0.009538
9,168.533,1.67566,1.90264,1.89078,0.55843,0.5,0.49054,0.22467,1.82393,2.64942,2.25682,0.009472,0.009472,0.009472
10,184.613,1.67363,1.85927,1.87094,0.60045,0.50987,0.52136,0.26732,1.65579,2.27129,2.10397,0.009406,0.009406,0.009406
11,200.731,1.59689,1.77242,1.80333,0.5354,0.42763,0.3984,0.17629,1.97363,3.14303,2.49507,0.00934,0.00934,0.00934
12,216.805,1.5954,1.74236,1.80719,0.59278,0.52632,0.53819,0.27978,1.54823,2.9103,1.98789,0.009274,0.009274,0.009274
13,233.037,1.59146,1.72888,1.8027,0.65025,0.53289,0.52283,0.24827,1.67346,2.41734,2.07669,0.009208,0.009208,0.009208
14,249.233,1.62754,1.79094,1.83508,0.63268,0.5,0.4893,0.26984,1.65839,2.2518,2.06474,0.009142,0.009142,0.009142
15,265.517,1.56134,1.68601,1.75931,0.56629,0.47675,0.47456,0.22562,1.6779,2.77381,2.05971,0.009076,0.009076,0.009076
16,281.712,1.55915,1.67966,1.77486,0.54908,0.49013,0.48149,0.22033,1.81284,2.71349,2.23497,0.00901,0.00901,0.00901
17,297.901,1.54942,1.62519,1.76054,0.59043,0.47697,0.50792,0.24205,1.76123,2.41313,2.19057,0.008944,0.008944,0.008944
18,313.836,1.5287,1.6246,1.75445,0.67277,0.54104,0.56177,0.31052,1.64144,1.86027,2.09038,0.008878,0.008878,0.008878
19,329.853,1.51406,1.57154,1.72499,0.62212,0.54276,0.55775,0.32096,1.52507,1.84038,1.94758,0.008812,0.008812,0.008812
20,345.903,1.51511,1.60642,1.72449,0.68505,0.49671,0.53942,0.29371,1.58663,1.77038,1.97982,0.008746,0.008746,0.008746
21,361.784,1.45507,1.5173,1.6949,0.74085,0.54605,0.63642,0.39783,1.38128,1.41955,1.78819,0.00868,0.00868,0.00868
22,377.846,1.46442,1.5311,1.6831,0.73388,0.58056,0.65016,0.36896,1.42209,1.79195,1.83838,0.008614,0.008614,0.008614
23,393.763,1.47208,1.52238,1.69882,0.6478,0.61108,0.60062,0.34359,1.45381,2.20833,1.86469,0.008548,0.008548,0.008548
24,409.697,1.49241,1.48845,1.68575,0.66293,0.57237,0.5951,0.31392,1.64543,1.79837,2.04846,0.008482,0.008482,0.008482
25,425.695,1.46957,1.5041,1.67464,0.67121,0.61184,0.60704,0.32726,1.55527,1.79307,1.95505,0.008416,0.008416,0.008416
26,441.757,1.43877,1.47138,1.67404,0.66922,0.58553,0.61689,0.34763,1.49641,1.79014,1.90929,0.00835,0.00835,0.00835
27,457.856,1.42256,1.42674,1.63673,0.73795,0.60855,0.66647,0.40419,1.48052,1.95592,1.82914,0.008284,0.008284,0.008284
28,473.852,1.36738,1.35532,1.58537,0.77717,0.57365,0.65952,0.405,1.41689,1.47233,1.82135,0.008218,0.008218,0.008218
29,489.939,1.40105,1.39688,1.6344,0.75183,0.52817,0.60111,0.34612,1.5053,1.88892,1.89111,0.008152,0.008152,0.008152
30,505.787,1.37196,1.37752,1.61604,0.67206,0.59868,0.61226,0.37258,1.40607,1.60825,1.7835,0.008086,0.008086,0.008086
31,521.797,1.37664,1.41993,1.60323,0.67064,0.68092,0.64983,0.40887,1.31293,1.57382,1.7063,0.00802,0.00802,0.00802
32,537.777,1.39119,1.36814,1.61188,0.78611,0.56908,0.68916,0.45062,1.30859,1.21972,1.70961,0.007954,0.007954,0.007954
33,553.835,1.38218,1.38612,1.62097,0.72455,0.64897,0.6784,0.41828,1.4315,1.46897,1.81293,0.007888,0.007888,0.007888
34,569.832,1.37335,1.37571,1.60203,0.7482,0.63158,0.6955,0.43275,1.34351,1.65246,1.73498,0.007822,0.007822,0.007822
35,585.745,1.38441,1.31843,1.59181,0.69529,0.67554,0.67885,0.42601,1.23118,1.37597,1.64854,0.007756,0.007756,0.007756
36,601.639,1.36532,1.35483,1.58967,0.77987,0.65789,0.71863,0.47443,1.3015,1.22054,1.67876,0.00769,0.00769,0.00769
37,617.693,1.3107,1.27057,1.54972,0.77555,0.63487,0.69057,0.41534,1.40702,1.41418,1.79619,0.007624,0.007624,0.007624
38,633.613,1.33548,1.31464,1.56384,0.78187,0.6485,0.71165,0.46161,1.29885,1.41902,1.6891,0.007558,0.007558,0.007558
39,649.494,1.30943,1.25315,1.54796,0.80084,0.63492,0.71116,0.44701,1.3587,1.14433,1.73895,0.007492,0.007492,0.007492
40,665.417,1.36259,1.30403,1.56084,0.72327,0.6792,0.70248,0.47132,1.26679,1.31817,1.68736,0.007426,0.007426,0.007426
41,681.422,1.33039,1.2705,1.56137,0.74751,0.67434,0.69814,0.45602,1.26867,1.48493,1.67231,0.00736,0.00736,0.00736
42,697.438,1.31191,1.28331,1.54803,0.69323,0.43858,0.53145,0.29771,1.46737,1.80687,1.80875,0.007294,0.007294,0.007294
43,713.354,1.28669,1.23936,1.53391,0.79959,0.66934,0.71549,0.48272,1.23899,1.19138,1.64515,0.007228,0.007228,0.007228
44,729.434,1.30278,1.2484,1.54633,0.75571,0.6309,0.69148,0.43318,1.3613,1.22383,1.77155,0.007162,0.007162,0.007162
45,745.404,1.2756,1.22516,1.51846,0.73772,0.61842,0.69227,0.46394,1.19879,1.33211,1.62138,0.007096,0.007096,0.007096
46,761.34,1.28687,1.24298,1.53566,0.71909,0.66776,0.69896,0.46244,1.22986,1.19313,1.63805,0.00703,0.00703,0.00703
47,777.327,1.2754,1.20216,1.5092,0.82453,0.67434,0.7368,0.48434,1.24098,1.1752,1.62431,0.006964,0.006964,0.006964
48,793.443,1.27032,1.17506,1.50415,0.73969,0.68234,0.71918,0.48015,1.21896,1.27147,1.61683,0.006898,0.006898,0.006898
49,809.465,1.28003,1.20228,1.52561,0.79888,0.66639,0.72273,0.49528,1.20837,1.24075,1.59979,0.006832,0.006832,0.006832
50,825.475,1.2319,1.16271,1.49123,0.8476,0.65461,0.74359,0.48966,1.23642,1.11943,1.63287,0.006766,0.006766,0.006766
51,841.387,1.27152,1.20009,1.50948,0.81756,0.64862,0.72391,0.49591,1.22342,1.18583,1.63854,0.0067,0.0067,0.0067
52,857.459,1.28761,1.19347,1.52263,0.85414,0.64803,0.72436,0.5055,1.18713,1.13304,1.56867,0.006634,0.006634,0.006634
53,873.612,1.24262,1.16408,1.49383,0.77649,0.70855,0.73728,0.49559,1.21454,1.09204,1.60315,0.006568,0.006568,0.006568
54,889.534,1.22797,1.15007,1.48142,0.77686,0.68092,0.74196,0.49769,1.18772,1.06044,1.59332,0.006502,0.006502,0.006502
