epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,363.979,1.75905,1.79129,1.9845,0.54804,0.45928,0.41948,0.19352,1.84991,1.9612,2.17891,0.007096,0.007096,0.007096
46,371.662,1.7124,1.73611,1.93153,0.57712,0.53094,0.5256,0.26426,1.69527,1.7423,1.9966,0.00703,0.00703,0.00703
47,379.499,1.69429,1.7093,1.91198,0.42268,0.40781,0.37757,0.17987,1.9304,2.26238,2.26159,0.006964,0.006964,0.006964
48,387.166,1.706,1.67887,1.90294,0.60934,0.443,0.46793,0.23783,1.77663,1.9824,2.08711,0.006898,0.006898,0.006898
49,394.818,1.63067,1.64615,1.87033,0.64905,0.50163,0.53941,0.27608,1.81507,1.72063,2.1071,0.006832,0.006832,0.006832
50,402.624,1.67794,1.70987,1.92196,0.62983,0.49511,0.51289,0.24089,1.77359,1.89209,2.10615,0.006766,0.006766,0.006766
51,410.295,1.60592,1.60692,1.83473,0.49368,0.51792,0.45347,0.21912,1.75565,1.94205,2.07468,0.0067,0.0067,0.0067
52,417.993,1.66399,1.63376,1.89853,0.62379,0.48609,0.54284,0.2814,1.58928,1.85621,1.89672,0.006634,0.006634,0.006634
53,425.775,1.57377,1.60181,1.82687,0.62958,0.5798,0.62922,0.33959,1.60594,1.51868,1.90669,0.006568,0.006568,0.006568
54,433.561,1.59756,1.55113,1.84234,0.62879,0.56026,0.61572,0.32652,1.64932,1.63538,1.94036,0.006502,0.006502,0.006502
55,441.256,1.64872,1.61482,1.87257,0.67226,0.52769,0.61714,0.35106,1.54666,1.50975,1.81996,0.006436,0.006436,0.006436
56,449.118,1.58174,1.53538,1.8094,0.65278,0.52053,0.60542,0.32606,1.57153,1.57789,1.87358,0.00637,0.00637,0.00637
57,456.78,1.5782,1.50836,1.81349,0.61499,0.54112,0.60056,0.32746,1.60058,1.54646,1.89301,0.006304,0.006304,0.006304
58,464.428,1.57735,1.49227,1.78995,0.71145,0.5114,0.62937,0.35553,1.60443,1.56281,1.8804,0.006238,0.006238,0.006238
59,472.219,1.52379,1.4417,1.75903,0.39471,0.41694,0.34131,0.15529,2.03142,2.24736,2.32341,0.006172,0.006172,0.006172
60,479.832,1.62717,1.53681,1.835,0.52635,0.38007,0.42369,0.22323,1.81498,1.96694,2.17633,0.006106,0.006106,0.006106
61,487.464,1.52554,1.45715,1.76929,0.66727,0.57655,0.61398,0.35563,1.47818,1.52442,1.79409,0.00604,0.00604,0.00604
62,495.241,1.5461,1.43557,1.78103,0.70987,0.53397,0.65079,0.36366,1.54434,1.55222,1.83806,0.005974,0.005974,0.005974
63,502.99,1.55328,1.49117,1.77221,0.66436,0.55049,0.6297,0.37337,1.4477,1.48942,1.77993,0.005908,0.005908,0.005908
64,510.769,1.52225,1.44944,1.75722,0.69282,0.47231,0.57424,0.32488,1.53259,1.58171,1.8441,0.005842,0.005842,0.005842
65,518.442,1.48118,1.39413,1.70814,0.55192,0.49511,0.48745,0.25508,1.68716,1.78951,1.99885,0.005776,0.005776,0.005776
66,526.119,1.48783,1.4021,1.70984,0.58466,0.45603,0.50719,0.28275,1.78492,1.90847,2.08364,0.00571,0.00571,0.00571
67,533.771,1.50686,1.42466,1.73892,0.59411,0.4291,0.44454,0.24053,1.76911,2.097,2.08372,0.005644,0.005644,0.005644
68,541.476,1.54075,1.40332,1.75379,0.70339,0.57655,0.6637,0.38438,1.46874,1.38133,1.76659,0.005578,0.005578,0.005578
69,549.308,1.52912,1.40878,1.72079,0.41018,0.39189,0.34329,0.16647,1.96139,2.50197,2.2542,0.005512,0.005512,0.005512
70,556.974,1.50988,1.40743,1.73334,0.61789,0.48534,0.53384,0.29097,1.64023,1.67666,1.91444,0.005446,0.005446,0.005446
71,566.162,1.44555,1.35466,1.67405,0.69286,0.59283,0.67463,0.42803,1.37136,1.34669,1.6856,0.00538,0.00538,0.00538
72,573.946,1.45613,1.37323,1.68247,0.69744,0.56352,0.6399,0.37304,1.44919,1.45904,1.73793,0.005314,0.005314,0.005314
73,581.657,1.43887,1.31863,1.66777,0.53442,0.57003,0.52863,0.26835,1.72344,1.76599,1.9924,0.005248,0.005248,0.005248
74,589.302,1.45992,1.35737,1.66868,0.74413,0.59283,0.68958,0.43798,1.36386,1.29927,1.67388,0.005182,0.005182,0.005182
75,597.12,1.45556,1.33695,1.66672,0.73881,0.62866,0.70978,0.41405,1.48652,1.33363,1.73933,0.005116,0.005116,0.005116
76,604.814,1.43888,1.2919,1.67699,0.66509,0.43988,0.53628,0.28088,1.61989,1.64065,1.91732,0.00505,0.00505,0.00505
77,612.505,1.43754,1.3405,1.66721,0.65237,0.50489,0.58591,0.34785,1.46868,1.51319,1.76136,0.004984,0.004984,0.004984
78,620.185,1.45555,1.32894,1.67707,0.78035,0.60177,0.69919,0.42004,1.38855,1.33988,1.69709,0.004918,0.004918,0.004918
79,627.842,1.41101,1.27355,1.6453,0.80795,0.63192,0.72198,0.47066,1.34273,1.21277,1.64307,0.004852,0.004852,0.004852
80,635.666,1.41098,1.27027,1.64114,0.82248,0.60586,0.72244,0.47559,1.32256,1.27683,1.62047,0.004786,0.004786,0.004786
81,643.441,1.35492,1.23835,1.59852,0.84384,0.557,0.72496,0.45664,1.33488,1.24462,1.62712,0.00472,0.00472,0.00472
82,651.1,1.33364,1.21007,1.61189,0.751,0.62215,0.72586,0.46205,1.31441,1.21592,1.61346,0.004654,0.004654,0.004654
83,658.739,1.39591,1.28007,1.6461,0.72885,0.60261,0.70462,0.4267,1.38689,1.27481,1.66764,0.004588,0.004588,0.004588
84,666.386,1.4192,1.30283,1.64851,0.78888,0.62541,0.73911,0.47108,1.35155,1.18175,1.62581,0.004522,0.004522,0.004522
85,673.952,1.37446,1.26757,1.62523,0.57111,0.5422,0.53903,0.32597,1.63018,1.69131,1.9476,0.004456,0.004456,0.004456
86,681.503,1.35193,1.20752,1.5866,0.78449,0.62215,0.73998,0.44972,1.33005,1.20628,1.59468,0.00439,0.00439,0.00439
87,689.097,1.32983,1.19736,1.59753,0.78655,0.63518,0.73941,0.47344,1.29062,1.21015,1.5977,0.004324,0.004324,0.004324
88,696.701,1.33215,1.20676,1.5897,0.81192,0.57651,0.70233,0.44346,1.36326,1.27118,1.66479,0.004258,0.004258,0.004258
89,704.277,1.38919,1.20769,1.60824,0.76549,0.61238,0.73583,0.46295,1.32105,1.22097,1.59734,0.004192,0.004192,0.004192
90,711.833,1.34207,1.19187,1.58144,0.83528,0.59283,0.72635,0.47984,1.2989,1.22462,1.60182,0.004126,0.004126,0.004126
91,719.516,1.35404,1.18793,1.58377,0.7007,0.53094,0.6591,0.39788,1.40752,1.38382,1.66961,0.00406,0.00406,0.00406
92,727.07,1.32069,1.16648,1.57199,0.77093,0.55375,0.69914,0.43028,1.38746,1.27799,1.68647,0.003994,0.003994,0.003994
93,734.627,1.34123,1.19476,1.58647,0.74673,0.60503,0.71271,0.44208,1.39429,1.26982,1.678,0.003928,0.003928,0.003928
94,742.197,1.34585,1.21028,1.58453,0.68716,0.42997,0.51627,0.30115,1.79851,1.9008,2.0967,0.003862,0.003862,0.003862
95,749.731,1.36762,1.23509,1.61199,0.78391,0.56352,0.67012,0.4124,1.44115,1.34877,1.717,0.003796,0.003796,0.003796
96,757.281,1.27171,1.15861,1.53949,0.74056,0.46906,0.56084,0.3621,nan,nan,nan,0.00373,0.00373,0.00373
97,764.868,1.32452,1.17343,1.57607,0.74859,0.64495,0.74381,0.4865,1.28931,1.14818,1.57578,0.003664,0.003664,0.003664
98,772.552,1.30756,1.15057,1.55398,0.78728,0.51792,0.62519,0.39634,1.43607,1.45151,1.74998,0.003598,0.003598,0.003598
99,780.185,1.28066,1.10847,1.5486,0.76234,0.6687,0.75307,0.49334,1.24261,1.11354,1.54724,0.003532,0.003532,0.003532
100,787.993,1.26575,1.10875,1.5276,0.82599,0.60586,0.73194,0.47703,1.27659,1.15766,1.57637,0.003466,0.003466,0.003466
101,795.661,1.26186,1.13626,1.51362,0.81231,0.60618,0.75624,0.48936,1.27662,1.14066,1.56786,0.0034,0.0034,0.0034
102,803.243,1.29721,1.15662,1.56115,0.72321,0.65534,0.75302,0.48277,1.24648,1.18813,1.52565,0.003334,0.003334,0.003334
103,810.874,1.27911,1.1275,1.52875,0.76209,0.62215,0.72892,0.4557,1.31393,1.21065,1.60988,0.003268,0.003268,0.003268
104,818.524,1.27342,1.10609,1.53785,0.76461,0.66124,0.75498,0.50169,1.22937,1.10955,1.48793,0.003202,0.003202,0.003202
105,826.294,1.27122,1.0861,1.51963,0.8272,0.62373,0.76234,0.52153,1.18355,1.09234,1.48406,0.003136,0.003136,0.003136
106,834.042,1.29274,1.15746,1.54545,0.70304,0.60922,0.6846,0.43738,1.35051,1.2904,1.63284,0.00307,0.00307,0.00307
107,841.656,1.24445,1.0723,1.49886,0.68563,0.49186,0.56422,0.35079,1.59455,1.6531,1.83626,0.003004,0.003004,0.003004
108,849.334,1.23303,1.04255,1.48658,0.65309,0.57329,0.60648,0.37828,1.44664,1.51628,1.75246,0.002938,0.002938,0.002938
109,856.992,1.28121,1.0979,1.52683,0.7623,0.57655,0.68391,0.41832,1.39526,1.27028,1.66679,0.002872,0.002872,0.002872
110,864.658,1.24118,1.09819,1.49825,0.81753,0.64216,0.77192,0.52998,1.1945,1.05517,1.4764,0.002806,0.002806,0.002806
111,872.394,1.26518,1.07903,1.50673,0.75305,0.67752,0.76026,0.52986,1.16413,1.06801,1.47572,0.00274,0.00274,0.00274
112,879.991,1.26145,1.05852,1.53117,0.80168,0.6873,0.78018,0.54629,1.16418,1.03445,1.46087,0.002674,0.002674,0.002674
113,887.748,1.20686,1.0261,1.47724,0.82122,0.64821,0.75236,0.51796,1.20819,1.09156,1.50289,0.002608,0.002608,0.002608
114,895.386,1.23071,1.00476,1.49915,0.82147,0.67752,0.78199,0.55049,1.14679,1.04231,1.45408,0.002542,0.002542,0.002542
115,903.133,1.19011,1.01347,1.48028,0.83302,0.61889,0.77126,0.52868,1.19075,1.06927,1.48624,0.002476,0.002476,0.002476
116,910.767,1.20347,1.00591,1.47335,0.80639,0.64821,0.76411,0.52246,1.19425,1.09187,1.49879,0.00241,0.00241,0.00241
117,918.419,1.22813,1.03196,1.48721,0.80494,0.63518,0.76878,0.51146,1.20862,1.04895,1.49518,0.002344,0.002344,0.002344
118,926.008,1.17109,0.99323,1.43691,0.83207,0.64557,0.78626,0.53774,1.17248,0.99925,1.45162,0.002278,0.002278,0.002278
119,933.609,1.18243,0.9942,1.45857,0.76419,0.64821,0.74816,0.49844,1.202,1.08734,1.51384,0.002212,0.002212,0.002212
120,941.204,1.17808,0.99109,1.46686,0.78091,0.68404,0.76955,0.53989,1.14131,1.00881,1.43481,0.002146,0.002146,0.002146
121,948.757,1.19861,0.99083,1.4683,0.81061,0.64131,0.76232,0.50562,1.21463,1.08509,1.51041,0.00208,0.00208,0.00208
122,956.312,1.1709,0.96093,1.43683,0.8126,0.64495,0.75451,0.52901,1.15979,1.05435,1.45767,0.002014,0.002014,0.002014
123,963.877,1.14616,0.98488,1.43918,0.8464,0.60912,0.7624,0.53728,1.15626,1.08319,1.47005,0.001948,0.001948,0.001948
124,971.451,1.13501,0.9752,1.42021,0.79933,0.64169,0.78337,0.52541,1.17111,1.02926,1.46031,0.001882,0.001882,0.001882
125,979.037,1.1512,0.96761,1.4192,0.8032,0.7101,0.79318,0.57095,1.1156,0.98533,1.41931,0.001816,0.001816,0.001816
126,986.749,1.13163,0.94215,1.41025,0.79761,0.70033,0.78622,0.55703,1.11511,0.97361,1.42532,0.00175,0.00175,0.00175
127,994.34,1.11923,0.93183,1.39821,0.77464,0.73941,0.82141,0.57767,1.08156,0.93174,1.37104,0.001684,0.001684,0.001684
128,1002.03,1.17796,0.95926,1.4447,0.71424,0.61061,0.6969,0.46621,1.26485,1.21085,1.54684,0.001618,0.001618,0.001618
129,1009.6,1.14641,0.96021,1.4232,0.78584,0.66932,0.77719,0.54051,1.12745,0.99358,1.42495,0.001552,0.001552,0.001552
130,1017.18,1.12582,0.9298,1.4202,0.80953,0.65472,0.791,0.52819,1.15476,1.00663,1.44859,0.001486,0.001486,0.001486
131,1024.78,1.16814,0.96148,1.44889,0.78251,0.70033,0.793,0.55782,1.1335,0.97481,1.41455,0.00142,0.00142,0.00142
132,1032.33,1.15409,0.95591,1.42346,0.8874,0.67752,0.81592,0.58543,1.06043,0.90761,1.37694,0.001354,0.001354,0.001354
133,1040.03,1.15264,0.9453,1.42661,0.80838,0.65147,0.77965,0.55384,1.08925,0.99485,1.40835,0.001288,0.001288,0.001288
134,1047.63,1.11638,0.91833,1.40593,0.85607,0.66124,0.78051,0.55893,1.09618,1.00808,1.40342,0.001222,0.001222,0.001222
